epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,1666.19,1.25963,1.06675,1.34083,0.73534,0.70891,0.76805,0.445,1.50176,1.04418,1.47025,0.00919888,0.00306629,0.00919888,0.00306629,0.00919888,0.00306629,0.00919888,0.00306629
103,1680.11,1.25161,1.05559,1.33896,0.75022,0.69157,0.76693,0.44877,1.5085,1.0311,1.48061,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
104,1693.35,1.26116,1.06748,1.34019,0.73809,0.70431,0.76998,0.44872,1.51214,1.03238,1.47649,0.00866932,0.00288977,0.00866932,0.00288977,0.00866932,0.00288977,0.00866932,0.00288977
105,1706.75,1.25989,1.0557,1.34304,0.76308,0.69563,0.76975,0.44502,1.50875,1.03155,1.47955,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
106,1719.98,1.24552,1.05246,1.33106,0.73903,0.7034,0.76512,0.43926,1.5162,1.04807,1.48306,0.00814976,0.00271659,0.00814976,0.00271659,0.00814976,0.00271659,0.00814976,0.00271659
107,1733.41,1.25178,1.05145,1.33745,0.70969,0.72077,0.76556,0.43851,1.52001,1.05432,1.49,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
108,1747.09,1.24951,1.05824,1.33454,0.70008,0.73599,0.76251,0.43899,1.52156,1.05606,1.49654,0.00764099,0.002547,0.00764099,0.002547,0.00764099,0.002547,0.00764099,0.002547
109,1760.38,1.23521,1.03681,1.32468,0.69824,0.71455,0.76295,0.43897,1.52051,1.05351,1.49205,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
110,1774.11,1.23712,1.03503,1.32865,0.72335,0.71288,0.76192,0.43906,1.52996,1.04762,1.50008,0.0071438,0.00238127,0.0071438,0.00238127,0.0071438,0.00238127,0.0071438,0.00238127
111,1787.3,1.24175,1.03904,1.32826,0.71818,0.71186,0.76148,0.43753,1.52887,1.05773,1.49873,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
112,1800.85,1.23059,1.02957,1.32009,0.7137,0.71854,0.759,0.43992,1.53053,1.06367,1.50416,0.00665895,0.00221965,0.00665895,0.00221965,0.00665895,0.00221965,0.00665895,0.00221965
113,1814.24,1.23396,1.02798,1.3209,0.70312,0.72739,0.75905,0.43754,1.53176,1.06264,1.51122,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
114,1827.58,1.22502,1.01551,1.3191,0.71965,0.72808,0.75574,0.43876,1.5339,1.06666,1.5095,0.00618719,0.0020624,0.00618719,0.0020624,0.00618719,0.0020624,0.00618719,0.0020624
115,1840.84,1.24184,1.02592,1.32241,0.69222,0.73046,0.75428,0.43477,1.52874,1.0672,1.50419,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
116,1854.18,1.22034,1.00201,1.31366,0.68992,0.74329,0.75766,0.43759,1.53493,1.05855,1.51084,0.00572926,0.00190975,0.00572926,0.00190975,0.00572926,0.00190975,0.00572926,0.00190975
117,1867.74,1.22348,1.0183,1.31656,0.72939,0.71567,0.75622,0.43786,1.53115,1.05235,1.51327,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
118,1880.91,1.2132,1.00577,1.30821,0.71876,0.71206,0.75874,0.43804,1.52668,1.05391,1.50778,0.00528585,0.00176195,0.00528585,0.00176195,0.00528585,0.00176195,0.00528585,0.00176195
119,1894.69,1.20908,0.9939,1.30182,0.73377,0.70194,0.75742,0.44022,1.52726,1.04696,1.51241,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
120,1908.17,1.21958,1.00497,1.30796,0.7264,0.71054,0.75901,0.44149,1.52361,1.04984,1.50668,0.00485765,0.00161922,0.00485765,0.00161922,0.00485765,0.00161922,0.00485765,0.00161922
121,1921.82,1.2109,0.99748,1.30518,0.70292,0.733,0.75866,0.44195,1.52583,1.04581,1.51083,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
122,1934.79,1.20966,1.00143,1.30276,0.71483,0.7192,0.75627,0.44026,1.52462,1.0492,1.51173,0.00444532,0.00148177,0.00444532,0.00148177,0.00444532,0.00148177,0.00444532,0.00148177
123,1948.25,1.20423,0.98669,1.30377,0.71868,0.71661,0.75864,0.43838,1.52906,1.05058,1.51422,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
124,1961.48,1.19351,0.98921,1.29806,0.7106,0.71759,0.75703,0.43751,1.53444,1.0493,1.52117,0.0040495,0.00134983,0.0040495,0.00134983,0.0040495,0.00134983,0.0040495,0.00134983
125,1974.63,1.21081,0.99124,1.30865,0.70893,0.71585,0.75863,0.43719,1.53631,1.05115,1.52278,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
